family	decimalLatitude	decimalLongitude
Polygonaceae	34.16224	-118.085
Ericaceae	47.5216	-122.343342
Cactaceae	33.067977	-96.964534
Poaceae	33.382142	-84.621108
Asparagaceae	30.656696	-96.815736
Cactaceae	33.344433	-116.301548
Pinaceae	44.337971	-72.486768
Asparagaceae	30.67663	-97.356857
Araliaceae	47.587629	-122.733776
Poaceae	31.045081	-98.476232
Asparagaceae	33.994305	-116.151631
Malvaceae	33.972105	-115.989989
Asparagaceae	33.972105	-115.989989
Santalaceae	34.129094	-116.048964
Cactaceae	33.972105	-115.989989
Polygonaceae	33.994305	-116.151631
Cactaceae	33.926352	-116.176528
Simmondsiaceae	33.972105	-115.989989
Cactaceae	34.074058	-116.034037
Cactaceae	33.994305	-116.151631
Ephedraceae	33.994305	-116.151631
Anacardiaceae	33.972105	-115.989989
Cupressaceae	33.927013	-116.187362
Polygonaceae	33.994305	-116.151631
Cupressaceae	33.972105	-115.989989
Santalaceae	33.972105	-115.989989
Cactaceae	30.406369	-97.790314
Solanaceae	32.92076	-96.936064
Cactaceae	29.755329	-93.786029
Solanaceae	31.780929	-106.492302
Asparagaceae	34.41355	-117.852578
Cactaceae	34.41355	-117.852578
